uid,length,positive,negative,anger,disgust,fear,sadness,surprise,good,happy
5446884067,72,0,0,0,0,0,0,0,0,0
5447690643,223,0,0,0,0,0,0,0,0,0
5455642674,105,0,0,0,0,0,0,0,0,0
5456128073,952,183,54,0,51,8,128,0,0,55
5456531392,234,0,0,0,0,0,0,0,0,0
5459355880,58,0,0,0,0,0,0,0,0,0
5460581747,353,56,40,0,40,0,38,0,0,18
5463661581,139,0,0,0,0,0,0,0,0,0
5468390164,9737,0,0,0,0,0,0,0,0,0
5477757041,658,0,0,0,0,0,0,0,0,0
5479258853,48,0,0,0,0,0,0,0,0,0
5482428116,808,146,95,0,54,10,107,34,5,34
5491881828,57,0,0,0,0,0,0,0,0,0
5492464633,296,0,0,0,0,0,0,0,0,0
5494326837,250,0,0,0,0,0,0,0,0,0
5494673442,46,0,0,0,0,0,0,0,0,0
5495786469,109,0,0,0,0,0,0,0,0,0
5503289126,347,0,0,0,0,0,0,0,0,0
5503380780,537,91,30,0,14,11,41,5,0,50
5505666912,211,0,0,0,0,0,0,0,0,0
5508862688,10,0,0,0,0,0,0,0,0,0
5509953912,62,0,0,0,0,0,0,0,0,0
5511935542,466,137,68,5,39,6,88,18,0,49
5513190019,2207,502,211,8,144,5,300,57,5,200
5513758976,146,0,0,0,0,0,0,0,0,0
5515131312,1645,247,146,0,110,9,172,27,14,61
5515301211,378,0,0,0,0,0,0,0,0,0
5516997243,10912,1729,838,16,528,144,1059,170,25,663
5522055872,167,0,0,0,0,0,0,0,0,0
5522546998,705,0,0,0,0,0,0,0,0,0
5523936836,621,0,0,0,0,0,0,0,0,0
5528290674,267,0,0,0,0,0,0,0,0,0
5528566837,1979,366,216,0,141,16,282,59,22,62
5529388203,162,0,0,0,0,0,0,0,0,0
5531344988,7395,0,0,0,0,0,0,0,0,0
5532074167,4797,766,444,12,261,58,566,123,8,192
5535584954,11,0,0,0,0,0,0,0,0,0
5536589166,333,0,0,0,0,0,0,0,0,0
5536604741,301,0,0,0,0,0,0,0,0,0
5539622565,253,0,0,0,0,0,0,0,0,0
5539628893,49,0,0,0,0,0,0,0,0,0
5539629632,3322,766,212,0,174,5,402,38,13,351
5548761696,54,0,0,0,0,0,0,0,0,0
5552546450,90,0,0,0,0,0,0,0,0,0
5554392107,161,0,0,0,0,0,0,0,0,0
5556229258,1009,0,0,0,0,0,0,0,0,0
5558092373,112,0,0,0,0,0,0,0,0,0
5565294509,13,0,0,0,0,0,0,0,0,0
5566483053,62,0,0,0,0,0,0,0,0,0
5567186153,5295,1035,545,10,365,61,713,120,28,297
5569515630,7,0,0,0,0,0,0,0,0,0
5571531282,309,0,0,0,0,0,0,0,0,0
5572229760,4061,654,579,0,424,61,393,104,5,257
5572555506,338,0,0,0,0,0,0,0,0,0
5574419538,674,190,66,0,47,0,98,19,0,92
5574863560,29,0,0,0,0,0,0,0,0,0
5575149984,573,0,0,0,0,0,0,0,0,0
5580746060,14011,2771,1770,27,1224,105,2101,450,93,577
5590552117,779,0,0,0,0,0,0,0,0,0
5590859332,7024,1176,672,3,461,82,766,134,45,365
5591075938,2040,368,165,0,113,33,276,24,0,92
5594527115,1449,335,111,0,59,10,184,47,20,131
5594529084,3170,254,114,0,75,10,163,29,5,86
5596304181,648,158,113,7,59,5,62,47,5,91
5597044761,204,0,0,0,0,0,0,0,0,0
5598510462,463,0,0,0,0,0,0,0,0,0
5603594985,3768,548,141,0,106,10,494,30,5,49
5604437432,361,0,0,0,0,0,0,0,0,0
5610585334,659,0,0,0,0,0,0,0,0,0
5613037743,265,0,0,0,0,0,0,0,0,0
5613996945,538,0,0,0,0,0,0,0,0,0
5614394281,1348,0,0,0,0,0,0,0,0,0
5615848829,79,0,0,0,0,0,0,0,0,0
5620348397,363,89,38,0,33,0,49,5,0,40
5622746116,15300,0,0,0,0,0,0,0,0,0
5626573198,1,0,0,0,0,0,0,0,0,0
5627285010,16597,4367,2152,27,1223,177,3009,746,132,1247
5629054716,208,0,0,0,0,0,0,0,0,0
5629056981,1603,270,147,5,107,0,181,35,0,94
5631220258,1853,336,129,5,70,20,162,34,5,169
5631556487,1295,0,0,0,0,0,0,0,0,0
5635552673,82,0,0,0,0,0,0,0,0,0
5636055325,13,0,0,0,0,0,0,0,0,0
5641313920,335,0,0,0,0,0,0,0,0,0
5641748245,76,0,0,0,0,0,0,0,0,0
5644446287,2302,577,248,12,175,9,435,52,5,137
5644816648,374,0,0,0,0,0,0,0,0,0
5645731469,65,0,0,0,0,0,0,0,0,0
5646429152,85,0,0,0,0,0,0,0,0,0
5648858684,1811,255,273,7,200,12,173,57,14,68
5650268361,82,0,0,0,0,0,0,0,0,0
5652208130,615,0,0,0,0,0,0,0,0,0
5652901594,85,0,0,0,0,0,0,0,0,0
5653172354,10534,0,0,0,0,0,0,0,0,0
5656284826,98,0,0,0,0,0,0,0,0,0
5656577697,329,0,0,0,0,0,0,0,0,0
5658879846,50,0,0,0,0,0,0,0,0,0
5659414979,1749,491,217,0,162,17,378,38,5,114
5660049489,172,0,0,0,0,0,0,0,0,0
5660186861,335,46,18,0,8,5,32,5,7,7
5660779066,47,0,0,0,0,0,0,0,0,0
5662394284,301,0,0,0,0,0,0,0,0,0
5663037931,54,0,0,0,0,0,0,0,0,0
5664646246,54,0,0,0,0,0,0,0,0,0
5665319755,115,0,0,0,0,0,0,0,0,0
5666067770,264,0,0,0,0,0,0,0,0,0
5666178815,1076,0,0,0,0,0,0,0,0,0
5667412223,228,0,0,0,0,0,0,0,0,0
5667560100,371,0,0,0,0,0,0,0,0,0
5668012263,130,0,0,0,0,0,0,0,0,0
5668042412,74,0,0,0,0,0,0,0,0,0
5668900706,70,0,0,0,0,0,0,0,0,0
5669419432,116,0,0,0,0,0,0,0,0,0
5670773361,298,0,0,0,0,0,0,0,0,0
5670938995,270,0,0,0,0,0,0,0,0,0
5671670558,381,0,0,0,0,0,0,0,0,0
5672278612,498,0,0,0,0,0,0,0,0,0
5673579978,1238,243,145,0,103,4,141,38,5,100
5677248612,566,68,34,0,18,8,41,8,0,27
5677730258,120,0,0,0,0,0,0,0,0,0
5678658014,2044,281,150,5,108,8,188,29,12,81
5678707028,1481,281,131,0,111,3,218,17,3,60
5680154774,103,0,0,0,0,0,0,0,0,0
5682511878,35,0,0,0,0,0,0,0,0,0
5683686754,70,0,0,0,0,0,0,0,0,0
5684860918,90,0,0,0,0,0,0,0,0,0
5685647704,58,12,3,0,3,0,12,0,0,0
5689339424,2250,391,276,0,207,10,275,68,5,111
5693502111,212,0,0,0,0,0,0,0,0,0
5698292913,46,0,0,0,0,0,0,0,0,0
5703742723,276,0,0,0,0,0,0,0,0,0
5706134293,24,0,0,0,0,0,0,0,0,0
5707028530,39,0,0,0,0,0,0,0,0,0
5712878083,3516,0,0,0,0,0,0,0,0,0
